EMAIL,PHONE,STATUS,AGE_BAND
user109_1@email.com,109-109-1094,MEMBER,45
user110_1@email.com,110-110-1101,MEMBER,35
user111_2@email.com,111-111-1115,MEMBER,65
user112_2@email.com,112-112-1122,MEMBER,35
user113_3@email.com,113-113-1135,MEMBER,65
user114_2@email.com,114-114-1148,MEMBER,55
user115_3@email.com,115-115-1158,MEMBER,35
user116_1@email.com,116-116-1161,MEMBER,50
user117_2@email.com,117-117-1175,GOLD,70
user118_2@email.com,118-118-1183,SILVER,75
user119_3@email.com,119-119-1192,PLATINUM,40
user120_3@email.com,120-120-1201,MEMBER,60
user121_2@email.com,121-121-1212,SILVER,35
user122_2@email.com,122-122-1226,MEMBER,45
user123_1@email.com,123-123-1238,MEMBER,50
user124_2@email.com,124-124-1243,MEMBER,45
user125_2@email.com,125-125-1251,PLATINUM,30
user126_1@email.com,126-126-12610,MEMBER,45
user127_2@email.com,127-127-1275,MEMBER,30
user128_1@email.com,128-128-1286,PLATINUM,35
user129_3@email.com,129-129-1296,MEMBER,30
user130_3@email.com,130-130-1301,MEMBER,50
user131_2@email.com,131-131-1312,MEMBER,75
user132_3@email.com,132-132-1326,SILVER,45
user133_2@email.com,133-133-13310,PLATINUM,40
user134_2@email.com,134-134-1344,SILVER,30
user135_2@email.com,135-135-1354,MEMBER,40
user136_1@email.com,136-136-1369,SILVER,65
user137_3@email.com,137-137-13710,MEMBER,45
user138_3@email.com,138-138-1388,MEMBER,70
user139_3@email.com,139-139-13910,MEMBER,20
user140_2@email.com,140-140-14010,PLATINUM,40
user141_1@email.com,141-141-1418,GOLD,20
user142_3@email.com,142-142-1426,SILVER,50
user143_3@email.com,143-143-14310,SILVER,40
user144_1@email.com,144-144-1445,MEMBER,35
user145_3@email.com,145-145-1453,MEMBER,40
user146_2@email.com,146-146-1465,MEMBER,60
user147_1@email.com,147-147-1471,MEMBER,55
user148_3@email.com,148-148-14810,MEMBER,45
user149_2@email.com,149-149-1493,SILVER,70
user150_1@email.com,150-150-1506,MEMBER,50
user151_1@email.com,151-151-15110,MEMBER,50
user152_3@email.com,152-152-1526,MEMBER,55
user153_1@email.com,153-153-1533,MEMBER,35
user154_2@email.com,154-154-1545,MEMBER,30
user155_1@email.com,155-155-1556,MEMBER,50
user156_2@email.com,156-156-1569,SILVER,40
user157_3@email.com,157-157-1575,PLATINUM,30
user158_3@email.com,158-158-1582,MEMBER,35
user159_2@email.com,159-159-1598,MEMBER,50
user160_3@email.com,160-160-1605,MEMBER,25
user161_1@email.com,161-161-1617,MEMBER,50
user162_1@email.com,162-162-1629,SILVER,65
user163_1@email.com,163-163-1634,MEMBER,50
user164_2@email.com,164-164-1647,MEMBER,30
user165_2@email.com,165-165-1658,SILVER,35
user166_2@email.com,166-166-1662,MEMBER,65
user167_2@email.com,167-167-1677,MEMBER,55
user168_1@email.com,168-168-1682,MEMBER,65
user169_2@email.com,169-169-1691,SILVER,65
user170_3@email.com,170-170-1709,MEMBER,60
user171_3@email.com,171-171-1718,SILVER,65
user172_1@email.com,172-172-1722,MEMBER,30
user173_1@email.com,173-173-17310,MEMBER,40
user174_3@email.com,174-174-1744,SILVER,30
user175_2@email.com,175-175-17510,MEMBER,45
user176_2@email.com,176-176-1762,MEMBER,40
user177_2@email.com,177-177-1775,MEMBER,60
user178_2@email.com,178-178-1789,MEMBER,45
user179_1@email.com,179-179-1796,MEMBER,45
user180_3@email.com,180-180-1806,MEMBER,75
user181_3@email.com,181-181-1813,SILVER,45
user182_2@email.com,182-182-1825,PLATINUM,30
user183_1@email.com,183-183-1837,SILVER,50
user184_3@email.com,184-184-18410,GOLD,25
user185_1@email.com,185-185-18510,MEMBER,30
user186_1@email.com,186-186-1861,MEMBER,55
user187_2@email.com,187-187-1874,MEMBER,70
user188_2@email.com,188-188-1887,MEMBER,50
user189_1@email.com,189-189-18910,SILVER,60
user190_2@email.com,190-190-1902,MEMBER,65
user191_1@email.com,191-191-1917,SILVER,60
user192_2@email.com,192-192-1929,SILVER,35
user193_2@email.com,193-193-1935,PLATINUM,40
user194_3@email.com,194-194-1943,MEMBER,55
user195_2@email.com,195-195-19510,MEMBER,40
user196_3@email.com,196-196-1962,MEMBER,45
user197_2@email.com,197-197-1974,MEMBER,30
user198_1@email.com,198-198-1983,MEMBER,50
user199_2@email.com,199-199-1996,MEMBER,65
user200_2@email.com,200-200-2003,MEMBER,70
user201_3@email.com,201-201-2018,MEMBER,70
user202_2@email.com,202-202-2029,MEMBER,35
user203_1@email.com,203-203-2035,PLATINUM,65
user204_1@email.com,204-204-2049,MEMBER,45
user205_2@email.com,205-205-2051,PLATINUM,20
user206_1@email.com,206-206-2069,MEMBER,55
user207_2@email.com,207-207-2071,MEMBER,60
user208_2@email.com,208-208-2086,MEMBER,75
user209_1@email.com,209-209-20910,MEMBER,60
user210_1@email.com,210-210-2104,MEMBER,65
user211_3@email.com,211-211-2113,MEMBER,75
user212_2@email.com,212-212-2127,MEMBER,50
user213_2@email.com,213-213-2132,MEMBER,50
user214_3@email.com,214-214-2143,MEMBER,75
user215_3@email.com,215-215-2152,MEMBER,60
user216_3@email.com,216-216-2161,MEMBER,55
user217_1@email.com,217-217-2173,MEMBER,50
user218_1@email.com,218-218-2187,MEMBER,40
user219_3@email.com,219-219-21910,MEMBER,45
user220_3@email.com,220-220-2206,MEMBER,25
user221_1@email.com,221-221-2215,SILVER,55
user222_2@email.com,222-222-2227,MEMBER,40
user223_1@email.com,223-223-2236,MEMBER,65
user224_3@email.com,224-224-2243,SILVER,60
user225_2@email.com,225-225-2252,MEMBER,50
user226_3@email.com,226-226-22610,MEMBER,35
user227_1@email.com,227-227-2277,MEMBER,60
user228_2@email.com,228-228-2289,MEMBER,60
user229_1@email.com,229-229-2296,MEMBER,45
user230_1@email.com,230-230-2305,MEMBER,35
user231_1@email.com,231-231-2311,MEMBER,30
user232_3@email.com,232-232-2324,SILVER,60
user233_2@email.com,233-233-2333,MEMBER,45
user234_2@email.com,234-234-2347,MEMBER,70
user235_1@email.com,235-235-23510,SILVER,55
user236_3@email.com,236-236-2368,MEMBER,35
user237_3@email.com,237-237-2373,MEMBER,40
user238_3@email.com,238-238-2381,PLATINUM,75
user239_2@email.com,239-239-2391,MEMBER,30
user240_2@email.com,240-240-2401,MEMBER,45
user241_1@email.com,241-241-2416,MEMBER,50
user242_2@email.com,242-242-2427,MEMBER,75
user243_2@email.com,243-243-2435,MEMBER,75
user244_1@email.com,244-244-2441,MEMBER,30
user245_2@email.com,245-245-24510,MEMBER,50
user246_3@email.com,246-246-24610,GOLD,30
user247_3@email.com,247-247-2472,SILVER,75
user248_3@email.com,248-248-2488,SILVER,65
user249_1@email.com,249-249-2494,MEMBER,40
user250_2@email.com,250-250-2502,MEMBER,75
user251_2@email.com,251-251-2512,SILVER,35
user252_2@email.com,252-252-25210,MEMBER,60
user253_2@email.com,253-253-2534,MEMBER,30
user254_1@email.com,254-254-25410,MEMBER,65
user255_3@email.com,255-255-2551,PLATINUM,65
user256_2@email.com,256-256-2568,MEMBER,55
user257_2@email.com,257-257-2572,MEMBER,70
user258_3@email.com,258-258-2581,GOLD,75
user259_3@email.com,259-259-2593,MEMBER,45
user260_1@email.com,260-260-26010,PLATINUM,30
user261_3@email.com,261-261-2614,MEMBER,75
user262_1@email.com,262-262-26210,MEMBER,70
user263_2@email.com,263-263-2635,PLATINUM,60
user264_2@email.com,264-264-2641,MEMBER,25
user265_2@email.com,265-265-2658,MEMBER,45
user266_2@email.com,266-266-2661,MEMBER,40
user267_2@email.com,267-267-2677,MEMBER,75
user268_2@email.com,268-268-2687,MEMBER,60
user269_1@email.com,269-269-2696,MEMBER,40
user270_3@email.com,270-270-2704,MEMBER,70
user271_1@email.com,271-271-2711,MEMBER,50
user272_1@email.com,272-272-2723,MEMBER,40
user273_3@email.com,273-273-2737,SILVER,55
user274_2@email.com,274-274-2749,MEMBER,35
user275_3@email.com,275-275-2756,SILVER,20
user276_2@email.com,276-276-2763,MEMBER,50
user277_3@email.com,277-277-2776,MEMBER,35
user278_1@email.com,278-278-2783,MEMBER,30
user279_2@email.com,279-279-2796,MEMBER,60
user280_1@email.com,280-280-2809,MEMBER,60
user281_2@email.com,281-281-2819,MEMBER,75
user282_1@email.com,282-282-2826,MEMBER,25
user283_3@email.com,283-283-2835,MEMBER,50
user284_2@email.com,284-284-2849,MEMBER,30
user285_3@email.com,285-285-2854,GOLD,40
user286_3@email.com,286-286-2869,MEMBER,45
user287_2@email.com,287-287-2877,MEMBER,55
user288_2@email.com,288-288-2885,MEMBER,40
user289_3@email.com,289-289-2898,MEMBER,35
user290_1@email.com,290-290-29010,MEMBER,50
user291_1@email.com,291-291-2911,MEMBER,50
user292_2@email.com,292-292-29210,MEMBER,65
user293_1@email.com,293-293-2937,MEMBER,70
user294_2@email.com,294-294-2941,MEMBER,75
user295_2@email.com,295-295-2951,MEMBER,45
user296_1@email.com,296-296-2967,MEMBER,35
user297_1@email.com,297-297-2976,MEMBER,40
user298_2@email.com,298-298-2984,GOLD,40
user299_1@email.com,299-299-2993,MEMBER,55
user300_2@email.com,300-300-3005,GOLD,50
user301_1@email.com,301-301-30110,PLATINUM,45
user302_3@email.com,302-302-30210,MEMBER,35
user303_3@email.com,303-303-3032,MEMBER,70
user304_3@email.com,304-304-3046,SILVER,30
user305_1@email.com,305-305-3053,MEMBER,35
user306_3@email.com,306-306-3063,MEMBER,35
user307_2@email.com,307-307-3075,MEMBER,30
user308_2@email.com,308-308-3082,SILVER,30
user309_1@email.com,309-309-3096,PLATINUM,75
user310_2@email.com,310-310-3109,GOLD,40
user311_3@email.com,311-311-3117,SILVER,25
user312_3@email.com,312-312-3124,MEMBER,70
user313_2@email.com,313-313-3135,MEMBER,55
user314_1@email.com,314-314-3144,MEMBER,55
user315_2@email.com,315-315-3155,MEMBER,75
user316_3@email.com,316-316-3163,MEMBER,30
user317_3@email.com,317-317-3178,MEMBER,35
user318_3@email.com,318-318-31810,SILVER,25
user319_2@email.com,319-319-3198,MEMBER,55
user320_1@email.com,320-320-3203,MEMBER,35
user321_1@email.com,321-321-32110,SILVER,45
user322_1@email.com,322-322-3225,SILVER,60
user323_1@email.com,323-323-3237,MEMBER,70
user324_2@email.com,324-324-3242,MEMBER,65
user325_1@email.com,325-325-3259,GOLD,75
user326_1@email.com,326-326-3264,SILVER,75
user327_2@email.com,327-327-3279,SILVER,55
user328_2@email.com,328-328-3288,MEMBER,30
user329_3@email.com,329-329-3299,MEMBER,40
user330_3@email.com,330-330-3305,MEMBER,65
user331_3@email.com,331-331-3316,MEMBER,35
user332_2@email.com,332-332-3322,MEMBER,30
user333_1@email.com,333-333-3338,SILVER,40
user334_3@email.com,334-334-3341,SILVER,45
user335_2@email.com,335-335-3358,MEMBER,55
user336_2@email.com,336-336-3368,MEMBER,75
user337_3@email.com,337-337-3373,SILVER,75
user338_2@email.com,338-338-3384,MEMBER,55
user339_3@email.com,339-339-3395,SILVER,40
user340_3@email.com,340-340-3409,MEMBER,75
user341_3@email.com,341-341-3415,MEMBER,35
user342_2@email.com,342-342-3429,MEMBER,60
user343_1@email.com,343-343-3434,MEMBER,60
user344_2@email.com,344-344-3443,MEMBER,30
user345_3@email.com,345-345-3454,MEMBER,65
user346_3@email.com,346-346-3467,MEMBER,45
user347_2@email.com,347-347-3477,GOLD,65
user348_1@email.com,348-348-3487,MEMBER,50
user349_1@email.com,349-349-3492,SILVER,65
user350_3@email.com,350-350-3506,MEMBER,70
user351_1@email.com,351-351-3518,MEMBER,70
user352_2@email.com,352-352-3529,SILVER,45
user353_2@email.com,353-353-3539,GOLD,35
user354_3@email.com,354-354-3549,MEMBER,30
user355_2@email.com,355-355-3553,SILVER,55
user356_2@email.com,356-356-3569,MEMBER,55
user357_3@email.com,357-357-35710,SILVER,75
user358_3@email.com,358-358-35810,PLATINUM,30
user359_2@email.com,359-359-3595,MEMBER,65
user360_3@email.com,360-360-3605,MEMBER,55
user361_3@email.com,361-361-36110,MEMBER,30
user362_1@email.com,362-362-3625,MEMBER,75
user363_3@email.com,363-363-36310,MEMBER,35
user364_2@email.com,364-364-3645,MEMBER,60
user365_2@email.com,365-365-3655,MEMBER,65
user366_2@email.com,366-366-3666,SILVER,50
user367_2@email.com,367-367-36710,MEMBER,45
user368_1@email.com,368-368-3681,MEMBER,35
user369_1@email.com,369-369-3699,MEMBER,50
user370_3@email.com,370-370-3706,MEMBER,65
user371_1@email.com,371-371-3719,PLATINUM,35
user372_3@email.com,372-372-3727,MEMBER,30
user373_3@email.com,373-373-3739,MEMBER,30
user374_2@email.com,374-374-3747,SILVER,65
user375_2@email.com,375-375-3757,SILVER,65
user376_3@email.com,376-376-3769,PLATINUM,50
user377_1@email.com,377-377-3771,MEMBER,50
user378_2@email.com,378-378-3788,MEMBER,60
user379_2@email.com,379-379-37910,MEMBER,65
user380_3@email.com,380-380-3805,MEMBER,45
user381_2@email.com,381-381-3818,MEMBER,65
user382_2@email.com,382-382-3823,MEMBER,65
user383_3@email.com,383-383-3831,MEMBER,50
user384_3@email.com,384-384-3847,PLATINUM,35
user385_3@email.com,385-385-3854,PLATINUM,60
user386_2@email.com,386-386-3865,PLATINUM,75
user387_3@email.com,387-387-3876,MEMBER,70
user388_3@email.com,388-388-3888,MEMBER,80
user389_2@email.com,389-389-3895,MEMBER,45
user390_1@email.com,390-390-3908,MEMBER,75
user391_3@email.com,391-391-39110,MEMBER,75
user392_1@email.com,392-392-3929,MEMBER,60
user393_3@email.com,393-393-39310,GOLD,70
user394_1@email.com,394-394-3947,MEMBER,45
user395_2@email.com,395-395-3958,MEMBER,45
user396_1@email.com,396-396-39610,SILVER,65
user397_2@email.com,397-397-39710,SILVER,60
user398_1@email.com,398-398-3988,SILVER,70
user399_2@email.com,399-399-3992,MEMBER,30
user400_1@email.com,400-400-4003,MEMBER,45
user401_2@email.com,401-401-4019,SILVER,50
user402_3@email.com,402-402-4023,MEMBER,40
user403_2@email.com,403-403-4034,MEMBER,60
user404_1@email.com,404-404-4042,MEMBER,65
user405_3@email.com,405-405-40510,MEMBER,40
user406_3@email.com,406-406-4064,MEMBER,70
user407_3@email.com,407-407-4078,MEMBER,40
user408_2@email.com,408-408-4086,MEMBER,35
user409_3@email.com,409-409-4094,MEMBER,50
user410_2@email.com,410-410-4103,MEMBER,50
user411_2@email.com,411-411-4112,SILVER,70
user412_1@email.com,412-412-4129,MEMBER,70
user413_2@email.com,413-413-4139,MEMBER,75
user414_1@email.com,414-414-4147,MEMBER,50
user415_2@email.com,415-415-4158,MEMBER,35
user416_1@email.com,416-416-4166,MEMBER,75
user417_2@email.com,417-417-4177,MEMBER,70
user418_1@email.com,418-418-4187,MEMBER,50
user419_1@email.com,419-419-4196,MEMBER,60
user420_3@email.com,420-420-4204,MEMBER,30
user421_2@email.com,421-421-4216,SILVER,50
user422_2@email.com,422-422-4221,MEMBER,40
user423_1@email.com,423-423-4238,MEMBER,60
user424_3@email.com,424-424-4247,SILVER,55
user425_2@email.com,425-425-4251,MEMBER,85
user426_2@email.com,426-426-42610,MEMBER,30
user427_1@email.com,427-427-4278,PLATINUM,35
user428_3@email.com,428-428-4287,MEMBER,30
user429_2@email.com,429-429-4297,MEMBER,55
user430_3@email.com,430-430-4308,GOLD,30
user431_2@email.com,431-431-4314,MEMBER,40
user432_1@email.com,432-432-4327,MEMBER,20
user433_2@email.com,433-433-4336,MEMBER,35
user434_1@email.com,434-434-4346,PLATINUM,50
user435_3@email.com,435-435-4359,PLATINUM,75
user436_3@email.com,436-436-4367,MEMBER,50
user437_2@email.com,437-437-4373,MEMBER,70
user438_2@email.com,438-438-4389,PLATINUM,65
user439_3@email.com,439-439-4392,MEMBER,25
user440_1@email.com,440-440-44010,MEMBER,55
user441_1@email.com,441-441-4411,MEMBER,35
user442_2@email.com,442-442-44210,MEMBER,65
user443_3@email.com,443-443-4436,MEMBER,30
user444_2@email.com,444-444-4447,MEMBER,35
user445_2@email.com,445-445-4457,MEMBER,40
user446_1@email.com,446-446-4468,PLATINUM,70
user447_2@email.com,447-447-4479,MEMBER,70
user448_1@email.com,448-448-44810,MEMBER,50
user449_2@email.com,449-449-4495,PLATINUM,60
user450_3@email.com,450-450-4505,MEMBER,55
user451_1@email.com,451-451-4515,MEMBER,50
user452_3@email.com,452-452-4525,MEMBER,30
user453_2@email.com,453-453-4539,PLATINUM,75
user454_1@email.com,454-454-4549,MEMBER,60
user455_2@email.com,455-455-4551,MEMBER,70
user456_3@email.com,456-456-45610,MEMBER,50
user457_2@email.com,457-457-4571,MEMBER,45
user458_3@email.com,458-458-4582,MEMBER,80
user459_3@email.com,459-459-4594,SILVER,70
user460_1@email.com,460-460-4609,MEMBER,35
user461_2@email.com,461-461-46110,MEMBER,70
user462_3@email.com,462-462-46210,MEMBER,30
user463_1@email.com,463-463-4634,MEMBER,50
user464_1@email.com,464-464-4641,MEMBER,70
user465_2@email.com,465-465-46510,MEMBER,50
user466_1@email.com,466-466-4665,PLATINUM,55
user467_2@email.com,467-467-4672,MEMBER,60
user468_2@email.com,468-468-4682,MEMBER,40
user469_3@email.com,469-469-4695,MEMBER,30
user470_3@email.com,470-470-4709,PLATINUM,45
user471_3@email.com,471-471-4719,MEMBER,70
user472_1@email.com,472-472-4727,MEMBER,45
user473_2@email.com,473-473-4739,MEMBER,65
user474_2@email.com,474-474-4746,MEMBER,35
user475_1@email.com,475-475-4751,SILVER,75
user476_2@email.com,476-476-4767,MEMBER,55
user477_3@email.com,477-477-47710,PLATINUM,30
user478_1@email.com,478-478-4781,MEMBER,55
user479_2@email.com,479-479-47910,SILVER,30
user480_2@email.com,480-480-4806,MEMBER,55
user481_2@email.com,481-481-4812,MEMBER,80
user482_2@email.com,482-482-4829,SILVER,60
user483_1@email.com,483-483-4839,MEMBER,45
user484_2@email.com,484-484-4844,MEMBER,50
user485_3@email.com,485-485-4856,MEMBER,40
user486_2@email.com,486-486-4868,PLATINUM,60
user487_1@email.com,487-487-4872,SILVER,75
user488_2@email.com,488-488-4886,MEMBER,45
user489_3@email.com,489-489-4895,SILVER,55
user490_2@email.com,490-490-4901,PLATINUM,70
user491_2@email.com,491-491-49110,MEMBER,35
user492_3@email.com,492-492-4927,MEMBER,30
user493_1@email.com,493-493-4933,PLATINUM,55
user494_2@email.com,494-494-4947,MEMBER,35
user495_1@email.com,495-495-4959,PLATINUM,65
user496_1@email.com,496-496-4962,PLATINUM,35
user497_2@email.com,497-497-4979,MEMBER,70
user498_1@email.com,498-498-4982,SILVER,60
user499_3@email.com,499-499-4993,MEMBER,60
user500_3@email.com,500-500-5006,MEMBER,25
user501_3@email.com,501-501-5019,PLATINUM,30
user502_3@email.com,502-502-5022,MEMBER,50
user503_2@email.com,503-503-5035,PLATINUM,40
user504_1@email.com,504-504-5047,SILVER,65
user505_1@email.com,505-505-50510,MEMBER,30
user506_2@email.com,506-506-5065,SILVER,75
user507_3@email.com,507-507-5071,MEMBER,75
user508_2@email.com,508-508-5089,MEMBER,50
user509_2@email.com,509-509-5092,GOLD,35
user510_1@email.com,510-510-5103,MEMBER,30
user511_1@email.com,511-511-5111,PLATINUM,35
user512_3@email.com,512-512-51210,MEMBER,45
user513_1@email.com,513-513-5132,MEMBER,40
user514_2@email.com,514-514-51410,MEMBER,40
user515_2@email.com,515-515-5159,MEMBER,60
user516_3@email.com,516-516-51610,MEMBER,75
user517_2@email.com,517-517-51710,MEMBER,55
user518_1@email.com,518-518-5189,MEMBER,40
user519_3@email.com,519-519-5196,SILVER,30
user520_2@email.com,520-520-5205,MEMBER,70
user521_3@email.com,521-521-5219,MEMBER,75
user522_2@email.com,522-522-5221,SILVER,40
user523_1@email.com,523-523-5235,MEMBER,35
user524_1@email.com,524-524-5248,MEMBER,40
user525_1@email.com,525-525-5252,PLATINUM,75
user526_3@email.com,526-526-5263,MEMBER,70
user527_1@email.com,527-527-52710,MEMBER,65
user528_1@email.com,528-528-5281,PLATINUM,45
user529_2@email.com,529-529-5293,MEMBER,70
user530_3@email.com,530-530-5301,GOLD,40
user531_1@email.com,531-531-5312,MEMBER,50
user532_2@email.com,532-532-5326,MEMBER,75
user533_2@email.com,533-533-5336,MEMBER,55
user534_1@email.com,534-534-5345,MEMBER,50
user535_2@email.com,535-535-5356,SILVER,40
user536_3@email.com,536-536-5368,MEMBER,35
user537_1@email.com,537-537-5373,SILVER,65
user538_1@email.com,538-538-5389,MEMBER,40
user539_1@email.com,539-539-5391,MEMBER,35
user540_1@email.com,540-540-5409,MEMBER,20
user541_1@email.com,541-541-5411,GOLD,30
user542_2@email.com,542-542-5427,MEMBER,25
user543_1@email.com,543-543-5438,MEMBER,30
user544_3@email.com,544-544-5446,MEMBER,35
user545_1@email.com,545-545-5451,PLATINUM,35
user546_2@email.com,546-546-5469,MEMBER,60
user547_2@email.com,547-547-5475,GOLD,60
user548_1@email.com,548-548-5488,MEMBER,70
user549_2@email.com,549-549-5492,MEMBER,65
user550_1@email.com,550-550-5508,MEMBER,65
user551_3@email.com,551-551-5518,PLATINUM,35
user552_1@email.com,552-552-5526,MEMBER,35
user553_3@email.com,553-553-5534,PLATINUM,50
user554_2@email.com,554-554-5549,MEMBER,40
user555_1@email.com,555-555-5555,SILVER,50
user556_2@email.com,556-556-5566,MEMBER,50
user557_2@email.com,557-557-5579,SILVER,30
user558_3@email.com,558-558-5584,MEMBER,75
user559_3@email.com,559-559-5591,MEMBER,50
user560_3@email.com,560-560-56010,MEMBER,55
user561_2@email.com,561-561-5611,MEMBER,60
user562_2@email.com,562-562-5622,MEMBER,35
user563_3@email.com,563-563-5631,MEMBER,30
user564_2@email.com,564-564-5643,MEMBER,70
user565_3@email.com,565-565-5651,MEMBER,75
user566_2@email.com,566-566-5669,GOLD,30
user567_2@email.com,567-567-5675,MEMBER,55
user568_1@email.com,568-568-5683,MEMBER,45
user569_1@email.com,569-569-5696,SILVER,75
user570_3@email.com,570-570-5706,MEMBER,20
user571_1@email.com,571-571-5714,MEMBER,75
user572_3@email.com,572-572-5727,MEMBER,35
user573_2@email.com,573-573-5734,MEMBER,45
user574_2@email.com,574-574-5745,MEMBER,55
user575_3@email.com,575-575-5758,MEMBER,75
user576_2@email.com,576-576-5769,MEMBER,35
user577_2@email.com,577-577-5779,SILVER,65
user578_1@email.com,578-578-5789,MEMBER,55
user579_2@email.com,579-579-5796,MEMBER,65
user580_3@email.com,580-580-5806,PLATINUM,65
user581_3@email.com,581-581-5819,MEMBER,25
user582_2@email.com,582-582-5821,MEMBER,55
