EMAIL,CAMPAIGN,DEVICE_TYPE,EXP_DATE,SEC_VIEW,EXP_COST
user559_3@email.com,campaign_2,STREAMING,2021-05-27,49,1.260000
user564_2@email.com,campaign_2,STREAMING,2021-03-08,15,1.400000
user571_1@email.com,campaign_1,STREAMING,2021-04-07,21,2.430000
user574_2@email.com,campaign_3,STREAMING,2021-03-29,28,0.720000
user581_3@email.com,campaign_3,STREAMING,2021-05-01,42,1.510000
user585_2@email.com,campaign_2,LINEAR,2021-05-10,36,2.110000
user590_2@email.com,campaign_1,STREAMING,2021-03-21,34,2.890000
user593_2@email.com,campaign_1,STREAMING,2021-04-04,52,1.320000
user603_3@email.com,campaign_1,STREAMING,2021-04-07,53,0.340000
user607_1@email.com,campaign_3,DISPLAY,2021-03-23,38,1.610000
user615_2@email.com,campaign_1,STREAMING,2021-05-29,39,1.120000
user617_2@email.com,campaign_2,STREAMING,2021-03-04,20,2.660000
user619_1@email.com,campaign_2,STREAMING,2021-03-25,40,2.310000
user623_2@email.com,campaign_3,STREAMING,2021-05-22,54,2.850000
user645_2@email.com,campaign_3,STREAMING,2021-04-01,46,0.420000
user652_1@email.com,campaign_1,STREAMING,2021-03-30,7,1.630000
user659_2@email.com,campaign_3,STREAMING,2021-05-19,25,1.940000
user663_3@email.com,campaign_3,MOBILE,2021-04-08,19,0.360000
user667_3@email.com,campaign_1,STREAMING,2021-04-25,19,1.270000
user673_1@email.com,campaign_2,MOBILE,2021-04-21,33,0.500000
user674_1@email.com,campaign_3,DISPLAY,2021-05-29,53,1.310000
user681_1@email.com,campaign_1,STREAMING,2021-04-12,37,2.070000
user682_3@email.com,campaign_3,MOBILE,2021-05-08,56,0.190000
user685_3@email.com,campaign_1,DISPLAY,2021-04-27,7,2.170000
user689_3@email.com,campaign_1,STREAMING,2021-04-20,38,0.020000
user695_1@email.com,campaign_3,MOBILE,2021-04-13,59,1.520000
user702_3@email.com,campaign_2,MOBILE,2021-04-17,26,1.570000
user703_1@email.com,campaign_2,STREAMING,2021-04-21,43,1.480000
user709_3@email.com,campaign_3,STREAMING,2021-04-23,28,1.500000
user711_1@email.com,campaign_3,LINEAR,2021-05-27,23,0.210000
user712_3@email.com,campaign_2,STREAMING,2021-05-16,6,1.350000
user713_2@email.com,campaign_2,MOBILE,2021-03-30,25,2.350000
user716_3@email.com,campaign_3,MOBILE,2021-05-26,9,0.010000
user720_3@email.com,campaign_3,DISPLAY,2021-05-05,37,1.430000
user726_2@email.com,campaign_1,STREAMING,2021-05-16,48,1.940000
user728_2@email.com,campaign_1,STREAMING,2021-04-01,32,2.860000
user734_2@email.com,campaign_2,STREAMING,2021-05-11,19,2.820000
user737_2@email.com,campaign_1,MOBILE,2021-05-27,53,2.010000
user740_1@email.com,campaign_3,STREAMING,2021-03-13,6,2.980000
user745_3@email.com,campaign_3,STREAMING,2021-05-25,34,0.130000
user746_2@email.com,campaign_3,MOBILE,2021-04-21,2,0.770000
user750_2@email.com,campaign_1,STREAMING,2021-04-19,34,2.540000
user756_1@email.com,campaign_2,STREAMING,2021-05-30,14,2.900000
user757_3@email.com,campaign_2,STREAMING,2021-03-21,51,2.470000
user758_1@email.com,campaign_3,DISPLAY,2021-04-19,4,2.530000
user766_1@email.com,campaign_3,DISPLAY,2021-03-26,38,0.310000
user767_2@email.com,campaign_2,STREAMING,2021-04-10,14,2.530000
user777_3@email.com,campaign_1,STREAMING,2021-05-09,38,2.580000
user781_2@email.com,campaign_1,STREAMING,2021-05-21,39,0.690000
user784_3@email.com,campaign_2,STREAMING,2021-04-29,52,2.310000
user786_3@email.com,campaign_3,STREAMING,2021-05-06,32,1.630000
user792_1@email.com,campaign_2,STREAMING,2021-05-13,20,1.700000
user796_1@email.com,campaign_1,DISPLAY,2021-03-08,48,0.940000
user797_3@email.com,campaign_2,STREAMING,2021-04-25,49,0.270000
user798_3@email.com,campaign_2,DISPLAY,2021-04-25,39,0.480000
user807_1@email.com,campaign_2,STREAMING,2021-05-25,38,1.900000
user810_1@email.com,campaign_1,DISPLAY,2021-04-21,17,1.740000
user814_1@email.com,campaign_2,STREAMING,2021-03-29,10,0.540000
user816_2@email.com,campaign_3,DISPLAY,2021-03-05,32,0.210000
user820_1@email.com,campaign_2,STREAMING,2021-03-04,57,0.470000
user821_1@email.com,campaign_3,STREAMING,2021-03-14,9,0.750000
user828_1@email.com,campaign_2,STREAMING,2021-04-24,52,0.540000
user829_3@email.com,campaign_2,STREAMING,2021-03-30,32,1.990000
user840_3@email.com,campaign_1,STREAMING,2021-04-01,59,0.190000
user845_1@email.com,campaign_1,MOBILE,2021-05-02,34,0.870000
user846_2@email.com,campaign_1,STREAMING,2021-04-11,35,0.790000
user849_1@email.com,campaign_1,MOBILE,2021-03-03,58,1.400000
user852_1@email.com,campaign_3,STREAMING,2021-04-08,23,0.540000
user856_2@email.com,campaign_3,STREAMING,2021-04-02,34,2.230000
user863_3@email.com,campaign_1,MOBILE,2021-04-08,42,2.320000
user864_2@email.com,campaign_1,STREAMING,2021-03-22,10,2.180000
user865_1@email.com,campaign_2,STREAMING,2021-03-11,4,0.960000
user867_1@email.com,campaign_2,MOBILE,2021-04-20,47,0.270000
user871_3@email.com,campaign_2,STREAMING,2021-03-13,42,2.820000
user873_3@email.com,campaign_3,STREAMING,2021-05-09,38,2.950000
user880_1@email.com,campaign_2,STREAMING,2021-05-03,3,1.420000
user881_2@email.com,campaign_2,DISPLAY,2021-04-12,14,2.430000
user888_2@email.com,campaign_3,STREAMING,2021-05-15,8,0.820000
user910_3@email.com,campaign_1,STREAMING,2021-04-30,38,0.620000
user912_1@email.com,campaign_2,STREAMING,2021-05-15,37,0.580000
user914_2@email.com,campaign_1,STREAMING,2021-03-12,32,2.450000
user915_3@email.com,campaign_3,DISPLAY,2021-04-12,34,2.570000
user918_2@email.com,campaign_1,STREAMING,2021-03-05,53,0.700000
user926_3@email.com,campaign_1,STREAMING,2021-04-13,40,2.440000
user927_3@email.com,campaign_3,STREAMING,2021-05-26,57,1.280000
user928_2@email.com,campaign_1,STREAMING,2021-05-13,43,2.610000
user930_1@email.com,campaign_1,MOBILE,2021-05-07,48,2.230000
user932_1@email.com,campaign_1,MOBILE,2021-04-22,34,2.810000
user934_3@email.com,campaign_3,STREAMING,2021-03-05,3,0.850000
user942_1@email.com,campaign_3,STREAMING,2021-04-30,34,1.810000
user945_1@email.com,campaign_3,MOBILE,2021-04-08,25,0.080000
user951_1@email.com,campaign_3,MOBILE,2021-03-17,9,0.890000
user969_2@email.com,campaign_2,DISPLAY,2021-04-21,33,2.390000
user973_2@email.com,campaign_3,DISPLAY,2021-05-12,28,1.200000
user975_3@email.com,campaign_2,STREAMING,2021-03-04,1,1.650000
user976_3@email.com,campaign_2,STREAMING,2021-04-27,33,1.750000
user981_3@email.com,campaign_3,MOBILE,2021-03-13,26,2.230000
user992_3@email.com,campaign_2,STREAMING,2021-03-25,53,2.780000
user998_1@email.com,campaign_2,MOBILE,2021-05-22,32,0.140000
